"","id","cs","subject_nr","resp_format","cs_valence","us_valence","cs_id","prerating","prerating_RT","postrating","postrating_RT","vm","rkg","vm_RT","rkg_RT","vm_correct","im_resp","im_opt","im_RT","im_correct","PD_practice_runs","PD_practice_correct","pd_RT","pd_resp","pd_set","material","cstype","PDprac_correct","PDprac_errors","ec","ec_abs","imcor","vmcor","vmconf","pdset","Proportion.Set1","Proportion.pleasant","pd_correct","pdcor","explicit","expl","RK_practice_runs","RK_practice_correct","RKprac_correct","RKprac_errors","conf","vmpos"
"24",1,"HM46.bmp","10","Control","neutral","none","[cs_neutral_11]",10,2966,6,1816,"1","K",2410,737,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-4,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"25",1,"HM49.bmp","10","Control","neutral","none","[cs_neutral_9]",9,2398,5,1919,"-1","G",2471,986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-4,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"26",1,"HW02.bmp","10","Control","negative","none","[cs_negative_6]",18,1536,19,2673,"1","G",2159,833,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","positive",NA,NA,1,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"27",1,"HW05.bmp","10","Control","negative","positive","[cs_negative_2]",17,4222,13,2268,"-2","K",6567,3374,FALSE,2,"5900.jpg",1418,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,-4,-4,1,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"28",1,"HW08.bmp","10","Control","neutral","negative","[cs_neutral_22]",12,2542,17,1669,"-3","R",2558,1430,TRUE,1,"2695.jpg",3973,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,5,-5,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"29",1,"HW11.bmp","10","Control","neutral","negative","[cs_neutral_23]",12,1979,12,1507,"-1","G",3878,973,TRUE,1,"7013.jpg",3046,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,0,0,1,1,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"30",1,"HW13.bmp","10","Control","negative","negative","[cs_negative_7]",18,2130,18,3901,"-3","R",1841,1463,TRUE,6,"7018.jpg",2981,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,0,0,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"31",1,"HW14.bmp","10","Control","neutral","none","[cs_neutral_16]",11,2174,8,2388,"-1","G",8865,1832,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-3,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"32",1,"HW17.bmp","10","Control","neutral","negative","[cs_neutral_17]",11,4364,16,1745,"-3","K",4865,900,TRUE,4,"9080.jpg",1833,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,5,-5,1,1,3,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"high",NA
"33",1,"HW18.bmp","10","Control","negative","positive","[cs_negative_3]",17,1731,16,1284,"-2","R",4502,1447,FALSE,5,"4275.jpg",2082,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,-1,-1,1,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
