"","id","cs","Instruction","Material","CS_Valence","US_Valence","Pairing","prerating","prerating_RT","postrating","postrating_RT","pdset","pdval","pd_RT","vmval","vmconf","vm_correct","vm_RT","RKG","rkg_RT","im_correct","im_RT"
"76","2","HW31.bmp","Control","faces","neutral","negative","paired",12,3089,9,4753,NA,NA,NA,"positive",2,FALSE,1063,"R",780,TRUE,10676
"77","2","HW34.bmp","Control","faces","positive","positive","paired",14,2455,12,2487,NA,NA,NA,"positive",2,TRUE,1212,"R",664,TRUE,5832
"78","2","HW37.bmp","Control","faces","positive","negative","paired",16,3298,14,2569,NA,NA,NA,"positive",2,FALSE,2156,"R",1370,TRUE,6357
"79","2","HW38.bmp","Control","faces","neutral","none","nonpaired",11,3063,14,2468,NA,NA,NA,"positive",1,FALSE,1839,"R",914,NA,NA
"80","2","HW39.bmp","Control","faces","negative","negative","paired",4,3521,1,1860,NA,NA,NA,"negative",3,TRUE,1295,"R",887,TRUE,4292
"81","2","HW42.bmp","Control","faces","neutral","positive","paired",9,2132,12,1815,NA,NA,NA,"positive",1,TRUE,1358,"K",4369,FALSE,6783
"82","2","HW43.bmp","Control","faces","neutral","negative","paired",12,1837,14,3023,NA,NA,NA,"positive",2,FALSE,1421,"R",708,FALSE,2907
"83","2","HW45.bmp","Control","faces","neutral","none","nonpaired",11,1851,12,2928,NA,NA,NA,"positive",2,FALSE,2536,"K",795,NA,NA
"84","2","HW50.bmp","Control","faces","negative","positive","paired",1,1934,1,2540,NA,NA,NA,"negative",3,FALSE,1295,"R",1135,TRUE,5117
"85","3","HM03.bmp","Inclusion","faces","neutral","positive","paired",10,1520,12,1729,"Memory","positive",2743,"positive",3,TRUE,3626,"R",824,TRUE,6910
"86","3","HM04.bmp","Inclusion","faces","negative","positive","paired",5,1582,7,1819,"Memory","positive",4276,"positive",3,TRUE,3730,"R",1248,FALSE,1639
"87","3","HM05.bmp","Inclusion","faces","neutral","positive","paired",10,3981,12,1509,"Memory","positive",2946,"positive",3,TRUE,2932,"R",898,TRUE,3522
"88","3","HM06.bmp","Inclusion","faces","negative","negative","paired",7,1672,8,1666,"Attitude","negative",4886,"negative",2,TRUE,6856,"G",2078,TRUE,1566
"89","3","HM08.bmp","Inclusion","faces","negative","negative","paired",7,1814,9,3793,"Memory","negative",4760,"negative",3,TRUE,4340,"R",806,FALSE,1651
"90","3","HM16.bmp","Inclusion","faces","negative","negative","paired",7,1746,11,3787,"Memory","negative",2451,"negative",2,TRUE,5706,"K",1117,TRUE,6116
"91","3","HM17.bmp","Inclusion","faces","neutral","negative","paired",11,2554,10,2079,"Memory","positive",6067,"positive",2,FALSE,5222,"K",900,FALSE,2301
"92","3","HM19.bmp","Inclusion","faces","neutral","negative","paired",11,2090,11,1653,"Memory","negative",4052,"negative",3,TRUE,2871,"R",1297,TRUE,6499
"93","3","HM20.bmp","Inclusion","faces","neutral","positive","paired",10,1927,9,4070,"Memory","negative",7511,"positive",2,TRUE,5245,"K",830,TRUE,15808
"94","3","HM22.bmp","Inclusion","faces","negative","positive","paired",5,7926,6,2151,"Memory","positive",3583,"positive",3,TRUE,3373,"R",2212,TRUE,8388
"95","3","HM25.bmp","Inclusion","faces","neutral","positive","paired",10,2581,9,1967,"Memory","positive",1380,"positive",1,TRUE,2723,"G",878,TRUE,5365
"96","3","HM26.bmp","Inclusion","faces","negative","none","nonpaired",6,2498,6,1654,"Attitude","negative",2598,"negative",2,FALSE,2534,"K",1331,NA,NA
"97","3","HM27.bmp","Inclusion","faces","neutral","none","nonpaired",10,2494,11,2241,"Attitude","positive",2995,"positive",1,FALSE,2076,"G",969,NA,NA
"98","3","HM30.bmp","Inclusion","faces","neutral","none","nonpaired",10,1700,10,1317,"Attitude","positive",1800,"negative",2,FALSE,4512,"G",1090,NA,NA
"99","3","HM33.bmp","Inclusion","faces","neutral","negative","paired",11,2863,10,1321,"Memory","negative",4543,"negative",3,TRUE,4717,"R",1514,TRUE,9736
"100","3","HM35.bmp","Inclusion","faces","neutral","none","nonpaired",10,4662,8,2054,"Attitude","negative",2681,"negative",1,FALSE,4192,"G",1646,NA,NA
"101","3","HM37.bmp","Inclusion","faces","negative","positive","paired",5,2545,6,1768,"Memory","negative",1716,"negative",1,FALSE,4615,"G",1091,TRUE,3829
"102","3","HM39.bmp","Inclusion","faces","neutral","none","nonpaired",10,1904,9,2284,"Attitude","negative",4256,"negative",2,FALSE,2286,"K",1218,NA,NA
"103","3","HM41.bmp","Inclusion","faces","neutral","none","nonpaired",10,1890,11,1938,"Attitude","positive",2156,"positive",1,FALSE,2575,"G",1137,NA,NA
"104","3","HM42.bmp","Inclusion","faces","neutral","none","nonpaired",10,2059,12,1709,"Attitude","positive",3586,"positive",1,FALSE,3584,"G",1070,NA,NA
"105","3","HM43.bmp","Inclusion","faces","negative","none","nonpaired",6,2533,8,1710,"Attitude","negative",1947,"negative",1,FALSE,5455,"G",1819,NA,NA
"106","3","HM45.bmp","Inclusion","faces","negative","none","nonpaired",6,1897,8,1986,"Attitude","negative",2707,"negative",1,FALSE,3690,"G",1033,NA,NA
"107","3","HW03.bmp","Inclusion","faces","neutral","negative","paired",11,3858,10,1389,"Attitude","positive",2242,"positive",1,FALSE,2367,"G",804,TRUE,1930
"108","3","HW06.bmp","Inclusion","faces","neutral","negative","paired",11,1907,10,1893,"Attitude","negative",2618,"positive",1,FALSE,2624,"G",1033,TRUE,1731
"109","3","HW09.bmp","Inclusion","faces","neutral","negative","paired",11,1886,11,1876,"Memory","negative",3079,"negative",2,TRUE,4025,"K",1552,TRUE,9247
"110","3","HW10.bmp","Inclusion","faces","neutral","none","nonpaired",10,1347,12,1656,"Attitude","positive",4408,"positive",1,FALSE,3081,"G",1033,NA,NA
"111","3","HW15.bmp","Inclusion","faces","positive","positive","paired",13,2278,12,1508,"Memory","positive",3418,"positive",2,TRUE,2303,"K",789,TRUE,3487
"112","3","HW16.bmp","Inclusion","faces","positive","positive","paired",13,1560,12,2855,"Attitude","positive",1673,"positive",1,TRUE,4782,"G",1005,TRUE,2725
"113","3","HW17.bmp","Inclusion","faces","positive","positive","paired",13,1790,12,2089,"Memory","negative",5244,"negative",2,FALSE,9509,"K",905,TRUE,6346
"114","3","HW21.bmp","Inclusion","faces","neutral","none","nonpaired",10,1981,9,1524,"Attitude","negative",2640,"positive",2,FALSE,4887,"G",3102,NA,NA
"115","3","HW23.bmp","Inclusion","faces","positive","none","nonpaired",13,3706,12,2593,"Memory","positive",4634,"positive",2,FALSE,4445,"K",971,NA,NA
"116","3","HW27.bmp","Inclusion","faces","neutral","negative","paired",10,2891,10,1918,"Memory","negative",10190,"negative",3,TRUE,4213,"K",1834,TRUE,2121
"117","3","HW28.bmp","Inclusion","faces","positive","none","nonpaired",13,2246,11,2591,"Attitude","positive",1969,"positive",1,FALSE,3710,"G",1843,NA,NA
"118","3","HW30.bmp","Inclusion","faces","neutral","negative","paired",10,2390,10,1774,"Attitude","positive",4322,"positive",1,FALSE,3143,"G",775,TRUE,2288
"119","3","HW33.bmp","Inclusion","faces","positive","none","nonpaired",13,2824,12,2411,"Attitude","positive",4738,"positive",1,FALSE,3121,"G",1001,NA,NA
